CONVERSATION_ID,ASSISTANT_ID,EVENT_POSITION,eventData,eventId,timestamp,typeOfEvent,nluEngineVersion,phrase,predictions,requestLatency
637e69ca-97d3-42e4-a64a-7b648122c0fb,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,25,"{'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'phrase': 'testing positive', 'predictions': {'affirmative': 0.995975316, 'negative': 0.00209982973, 'none': 0.00419722451}, 'requestLatency': 1778}",670aacce8529bdd2889732ae,2024-10-12 20:07:26.841,LEXICON_MATCH,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,testing positive,"{'affirmative': 0.995975316, 'negative': 0.00209982973, 'none': 0.00419722451}",1778
793c94d3-e9a3-411e-a51b-38118140252d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,46,"{'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'phrase': 'Okay', 'predictions': {'affirmative': 0.996023059, 'negative': 0.000262716552, 'none': 0.00800421741}, 'requestLatency': 2301}",670a62438529bdd28893e2d5,2024-10-12 14:49:23.684,LEXICON_MATCH,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,Okay,"{'affirmative': 0.996023059, 'negative': 0.000262716552, 'none': 0.00800421741}",2301
89a6df6c-45d6-4564-951a-6312c6a11d4d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,121,"{'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'phrase': '!', 'predictions': {'affirmative': 0.976180375, 'negative': 8.75996e-05, 'none': 0.0483232476}, 'requestLatency': 6335}",6709eb3114519701d611784d,2024-10-12 06:21:21.313,LEXICON_MATCH,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,!,"{'affirmative': 0.976180375, 'negative': 8.75996e-05, 'none': 0.0483232476}",6335
89a6df6c-45d6-4564-951a-6312c6a11d4d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,135,"{'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'phrase': 'no one', 'predictions': {'affirmative': 0.000239255547, 'negative': 0.996503174, 'none': 0.00161583873}, 'requestLatency': 2786}",6709eb6714519701d61179ff,2024-10-12 06:22:15.709,LEXICON_MATCH,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,no one,"{'affirmative': 0.000239255547, 'negative': 0.996503174, 'none': 0.00161583873}",2786
89a6df6c-45d6-4564-951a-6312c6a11d4d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,326,"{'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'phrase': 'does not exist', 'predictions': {'affirmative': 0.00023803713, 'negative': 0.991738856, 'none': 0.00787983742}, 'requestLatency': 3422}",6709ed2214519701d6118615,2024-10-12 06:29:38.551,LEXICON_MATCH,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,does not exist,"{'affirmative': 0.00023803713, 'negative': 0.991738856, 'none': 0.00787983742}",3422
89a6df6c-45d6-4564-951a-6312c6a11d4d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,357,"{'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'phrase': '!', 'predictions': {'affirmative': 0.976180375, 'negative': 8.75996e-05, 'none': 0.0483232476}, 'requestLatency': 5067}",6709edc014519701d6118a2b,2024-10-12 06:32:16.241,LEXICON_MATCH,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,!,"{'affirmative': 0.976180375, 'negative': 8.75996e-05, 'none': 0.0483232476}",5067
8e2ebbe4-af0c-4034-b63f-7e087137ab92,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,98,"{'nluEngineVersion': '5ff2a535c437f358ae08352f1950b76d55dd51f2 urmc-7b5e12e95d40d26d08654ba4a4e3be9b', 'phrase': 'Okay', 'predictions': {'affirmative': 0.996023059, 'negative': 0.000262716552, 'none': 0.00800421741}, 'requestLatency': 1731}",670c09a114519701d621cebe,2024-10-13 20:55:45.152,LEXICON_MATCH,5ff2a535c437f358ae08352f1950b76d55dd51f2 urmc-7b5e12e95d40d26d08654ba4a4e3be9b,Okay,"{'affirmative': 0.996023059, 'negative': 0.000262716552, 'none': 0.00800421741}",1731
a43b5432-a7e6-47fb-86d7-541bd29b6297,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,32,"{'nluEngineVersion': '5ff2a535c437f358ae08352f1950b76d55dd51f2 urmc-7b5e12e95d40d26d08654ba4a4e3be9b', 'phrase': 'No', 'predictions': {'affirmative': 0.000664796098, 'negative': 0.995860159, 'none': 0.00135425583}, 'requestLatency': 2794}",670bd56c14519701d61f8176,2024-10-13 17:13:00.352,LEXICON_MATCH,5ff2a535c437f358ae08352f1950b76d55dd51f2 urmc-7b5e12e95d40d26d08654ba4a4e3be9b,No,"{'affirmative': 0.000664796098, 'negative': 0.995860159, 'none': 0.00135425583}",2794
4344bc93-211f-483e-b380-7b6a1604bf61,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,16,"{'nluEngineVersion': '7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe', 'phrase': 'appropriately', 'predictions': {'affirmative': 0.980202258, 'negative': 0.00313293608, 'none': 0.023960216}, 'requestLatency': 5515}",670aa59014519701d6168a4f,2024-10-12 19:36:32.849,LEXICON_MATCH,7c8aa7cf05639bb2edb7c225a6aa00c85537c812 urmc-7022bd2a03a123e9d74d07cfe3b3fffe,appropriately,"{'affirmative': 0.980202258, 'negative': 0.00313293608, 'none': 0.023960216}",5515
4d4208bd-2b4c-490d-bedf-6c4ed0e3122d,08fd0ad8-b8bd-4c6d-a1bf-c381dbe24b4d,46,"{'nluEngineVersion': '9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5', 'phrase': 'Okay', 'predictions': {'affirmative': 0.996023059, 'negative': 0.000262716552, 'none': 0.00800421741}, 'requestLatency': 467}",670679317673c82f42728e5e,2024-10-09 15:38:09.828,LEXICON_MATCH,9fa39a7450e451c50af6cd065449a16961ff1eff urmc-0bbf8416e2dffb4d5af60416f6e94ed5,Okay,"{'affirmative': 0.996023059, 'negative': 0.000262716552, 'none': 0.00800421741}",467
